Date,Open,High,Low,Close,Volume
29-Jun-16,37.81,38.25,37.50,38.02,7641766
28-Jun-16,36.66,37.22,36.40,37.18,6306628
27-Jun-16,36.60,36.66,35.77,36.15,9340506
24-Jun-16,37.50,38.05,36.82,36.98,23589159
23-Jun-16,38.66,39.06,38.40,38.92,5674095
22-Jun-16,38.74,38.89,38.21,38.32,4724984
21-Jun-16,38.75,39.23,38.56,38.66,7156128
20-Jun-16,38.56,38.96,38.36,38.69,9354231
17-Jun-16,39.03,39.05,37.83,38.08,13336367
16-Jun-16,38.25,39.15,38.00,39.03,10064275
15-Jun-16,38.46,38.82,38.02,38.33,10464780
14-Jun-16,37.46,38.56,37.24,38.41,19995464
13-Jun-16,37.53,38.21,37.36,37.63,7169483
10-Jun-16,38.13,38.45,37.54,37.77,13435025
9-Jun-16,37.99,39.02,37.95,38.54,23555740
8-Jun-16,38.10,38.24,37.54,38.12,11260501
7-Jun-16,37.95,38.50,37.94,38.13,7315913
6-Jun-16,37.65,37.80,36.83,37.76,7727265
3-Jun-16,38.69,38.91,37.63,37.81,9685230
2-Jun-16,38.72,38.75,38.21,38.69,6581525
1-Jun-16,39.26,39.29,38.51,38.65,8432241
31-May-16,39.54,39.69,39.13,39.26,8466742
27-May-16,39.13,39.99,39.07,39.34,6265447
26-May-16,38.91,39.40,38.47,39.10,7995415
25-May-16,39.19,39.55,38.60,38.95,7680678
24-May-16,37.92,39.04,37.78,39.02,7618880
23-May-16,37.63,38.00,37.31,37.73,5623960
20-May-16,37.81,37.94,37.16,37.53,11640080
19-May-16,38.23,38.37,37.54,37.80,7493851
18-May-16,37.98,38.72,37.86,38.47,7676273
17-May-16,39.10,39.35,37.63,38.12,10667594
16-May-16,38.45,39.48,38.31,39.39,7783864
13-May-16,38.00,38.98,37.99,38.29,10198668
12-May-16,37.17,37.99,37.05,37.91,7601191
11-May-16,36.61,37.33,36.46,37.11,10236332
10-May-16,37.23,37.27,36.06,36.41,14270960
9-May-16,37.79,37.87,36.82,37.15,10814813
6-May-16,36.99,38.00,36.66,37.87,19054135
5-May-16,34.34,35.21,34.17,34.91,9853814
4-May-16,33.82,34.34,33.61,34.28,5762877
3-May-16,34.16,34.59,33.94,34.11,4282585
2-May-16,34.70,34.75,33.94,34.58,7452885
29-Apr-16,33.60,34.58,33.55,34.47,6439261
28-Apr-16,34.24,34.87,33.78,33.90,5248557
27-Apr-16,34.93,35.13,33.83,34.37,6866252
26-Apr-16,35.08,35.43,34.99,35.21,3563414
25-Apr-16,34.61,34.96,34.56,34.92,2738994
22-Apr-16,34.87,35.43,34.52,34.65,4658887
21-Apr-16,35.17,35.44,34.96,35.19,3113908
20-Apr-16,35.34,35.44,34.93,35.25,3502252
19-Apr-16,35.48,35.60,34.80,35.21,4140831
18-Apr-16,34.56,35.45,34.13,35.44,4524639
15-Apr-16,35.02,35.07,34.34,34.57,5353585
14-Apr-16,35.29,35.29,34.78,34.91,3860137
13-Apr-16,33.92,35.30,33.85,35.16,8301604
12-Apr-16,33.43,33.66,33.03,33.48,5235886
11-Apr-16,34.30,34.38,33.41,33.41,4483003
8-Apr-16,33.70,34.16,33.52,33.97,4591914
7-Apr-16,33.87,33.97,33.31,33.42,5750035
6-Apr-16,33.89,34.18,33.54,34.00,4539404
5-Apr-16,33.91,34.35,33.60,33.71,5672941
4-Apr-16,34.42,34.66,33.96,34.23,4819276
1-Apr-16,33.81,34.53,33.54,34.42,4998042
31-Mar-16,33.98,34.50,33.70,33.84,7036135
30-Mar-16,33.60,34.29,33.51,34.07,8354256
29-Mar-16,32.27,33.36,32.25,33.24,5625590
28-Mar-16,32.10,32.34,31.71,32.14,3261646
24-Mar-16,32.44,32.58,31.91,32.21,3753696
23-Mar-16,32.48,32.81,32.42,32.58,4099000
22-Mar-16,31.89,32.57,31.86,32.54,4677782
21-Mar-16,32.23,32.32,31.81,32.04,3009422
18-Mar-16,32.68,32.68,31.76,32.20,11474720
17-Mar-16,32.68,33.08,32.02,32.60,6209778
16-Mar-16,32.49,32.91,32.20,32.79,5063778
15-Mar-16,32.34,32.87,32.18,32.48,5374000
14-Mar-16,31.65,32.68,31.57,32.41,7123643
11-Mar-16,31.51,32.04,31.48,31.52,7467504
10-Mar-16,30.90,31.51,30.70,31.25,7588872
9-Mar-16,30.82,31.05,30.37,30.86,6524600
8-Mar-16,30.70,31.15,30.51,30.78,6935949
7-Mar-16,31.00,31.48,30.51,30.98,7751252
4-Mar-16,31.84,31.84,30.71,31.19,6121545
3-Mar-16,31.81,31.90,31.02,31.52,5454871
2-Mar-16,32.00,32.21,31.51,32.01,8292781
1-Mar-16,31.96,32.40,31.45,32.21,7543561
29-Feb-16,31.73,32.22,31.32,31.67,7259483
26-Feb-16,32.38,32.62,31.65,31.89,7113185
25-Feb-16,31.98,32.62,31.75,32.32,8599825
24-Feb-16,30.44,31.77,30.24,31.71,8306179
23-Feb-16,31.35,31.91,30.55,30.73,9493254
22-Feb-16,30.51,31.85,30.48,31.52,10532915
19-Feb-16,28.85,30.35,28.65,30.19,11534466
18-Feb-16,29.88,30.00,28.79,28.88,8203762
17-Feb-16,29.76,30.02,29.32,29.45,15008925
16-Feb-16,28.56,29.65,28.55,29.42,15525538
